fund_name,cik,company,ticker,cusip,shares,value,weight,ownership,date,filing_date,industry
Baker Bros. Advisors LP,0001263508,Incyte Corporation,INCY,45337C102,30739953,1861304154,20.5972,15.8689,2025-03-31,2025-05-15,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
Baker Bros. Advisors LP,0001263508,ACADIA Pharmaceuticals Inc.,ACAD,004225108,42877916,712202185,7.8812,25.705,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Madrigal Pharmaceuticals, Inc.",MDGL,558868105,1974590,654043446,7.2376,8.9383,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Summit Therapeutics Inc.,SMMT,86627T108,24424865,471155646,5.2138,3.3093,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Insmed Incorporated,INSM,457669307,5380626,410487958,4.5425,2.975,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Rhythm Pharmaceuticals, Inc.",RYTM,76243J105,5604483,296869465,3.2852,8.8877,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Revolution Medicines, Inc.",RVMD,76155X100,7936972,280651330,3.1057,4.2185,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Kymera Therapeutics, Inc.",KYMR,501575104,5995929,164108577,1.816,7.4812,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Alkermes plc,ALKS,G01767105,4483285,148038071,1.6382,2.7436,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Edgewise Therapeutics, Inc.",EWTX,28036F105,6155940,135430680,1.4987,6.4711,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Replimune Group, Inc.",REPL,76029N106,11045336,107692026,1.1917,13.2281,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Insmed Incorporated,,457669AB5,42850000,101588437,1.1242,0.0,2025-03-31,2025-05-15,
Baker Bros. Advisors LP,0001263508,"Immunovant, Inc.",IMVT,45258J102,5457881,93275186,1.0322,3.7148,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Bicycle Therapeutics plc,BCYC,088786108,10885357,92416681,1.0227,15.731,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Immunocore Holdings plc,IMCR,45258D105,2322656,68913204,0.7626,4.6373,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Kiniksa Pharmaceuticals International, plc",KNSA,G52694109,2818323,62594954,0.6927,3.8795,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,AbCellera Biologics Inc.,ABCL,00288U106,27525640,61382177,0.6793,9.2463,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Ultragenyx Pharmaceutical Inc.,RARE,90400D108,1576114,57071088,0.6315,1.6369,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Denali Therapeutics Inc.,DNLI,24823R105,3731695,50732394,0.5614,2.1794,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Kodiak Sciences Inc.,KOD,50015M109,17310490,48555924,0.5373,32.8184,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Nurix Therapeutics, Inc.",NRIX,67080M103,3882125,46119645,0.5104,4.6459,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,argenx SE,ARGX,04016X101,77760,46023422,0.5093,0.13,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Entrada Therapeutics, Inc.",TRDA,29384C108,4865819,43987004,0.4868,11.8465,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Celcuity Inc.,CELC,15102K100,4257735,43045701,0.4763,9.8896,2025-03-31,2025-05-15,SERVICES-MEDICAL LABORATORIES
Baker Bros. Advisors LP,0001263508,"GRAIL, Inc.",GRAL,384747101,1630125,41633393,0.4607,4.7514,2025-03-31,2025-05-15,SERVICES-MEDICAL LABORATORIES
Baker Bros. Advisors LP,0001263508,Roivant Sciences Ltd.,ROIV,G76279101,3767773,38016830,0.4207,0.5213,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Immatics N.V.,IMTX,N44445109,7275830,32813993,0.3631,6.8805,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Stoke Therapeutics, Inc.",STOK,86150R107,4633838,30815023,0.341,8.0083,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Cerus Corporation,CERS,157085101,19351087,26898011,0.2977,10.3445,2025-03-31,2025-05-15,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
Baker Bros. Advisors LP,0001263508,"Vaxcyte, Inc.",PCVX,92243G108,640885,24199818,0.2678,0.4723,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Monte Rosa Therapeutics, Inc.",GLUE,61225M102,4916095,22810681,0.2524,5.9844,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,CRISPR Therapeutics AG,CRSP,H17182108,654099,22258989,0.2463,0.7611,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Akero Therapeutics, Inc.",AKRO,00973Y108,548713,22211902,0.2458,0.6976,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Sera Prognostics, Inc.",SERA,81749D107,5498170,20233266,0.2239,13.1008,2025-03-31,2025-05-15,SERVICES-MEDICAL LABORATORIES
Baker Bros. Advisors LP,0001263508,Centessa Pharmaceuticals plc,CNTA,152309100,1227178,17646820,0.1953,0.9225,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Neurogene Inc.,NGNE,64135M105,1486200,17403402,0.1926,7.0784,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"IDEAYA Biosciences, Inc.",IDYA,45166A102,1062123,17397575,0.1925,1.2021,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Verona Pharma plc,VRNA,925050106,223843,14211792,0.1573,0.0329,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Candel Therapeutics, Inc.",CADL,137404109,2437189,13770118,0.1524,4.8278,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Praxis Precision Medicines, Inc.",PRAX,74006W207,331533,12555155,0.1389,1.5745,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"2seventy bio, Inc.",TSVT,901384107,2497526,12337778,0.1365,4.7074,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Xenon Pharmaceuticals Inc.,XENE,98420N105,347408,11655538,0.129,0.4415,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Bicara Therapeutics Inc.,BCAX,055477103,833333,10858329,0.1202,1.5303,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Ionis Pharmaceuticals, Inc.",IONS,462222100,357915,10798296,0.1195,0.2255,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,DBV Technologies S.A.,,23306J309,1461425,9966919,0.1103,0.0,2025-03-31,2025-05-15,
Baker Bros. Advisors LP,0001263508,Alumis Inc.,ALMS,022307102,1562500,9593750,0.1062,2.8786,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Merus N.V.,MRUS,N5749R100,223500,9407115,0.1041,0.3238,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Prelude Therapeutics Inc.,PRLD,74065P101,10123824,7775097,0.086,13.3232,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Verve Therapeutics, Inc.",VERV,92539P101,1691530,7730292,0.0855,1.9471,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Rocket Pharmaceuticals, Inc.",RCKT,77313F106,1097079,7317517,0.081,0.9965,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Xencor, Inc.",XNCR,98401F105,670431,7133386,0.0789,0.9101,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Dyne Therapeutics, Inc.",DYN,26818M108,672096,7030124,0.0778,0.6115,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"KALA BIO, Inc.",KALA,483119202,1201894,6886853,0.0762,18.9398,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Design Therapeutics, Inc.",DSGN,25056L103,1743725,6730779,0.0745,3.0722,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Structure Therapeutics Inc.,GPCR,86366E106,361565,6258690,0.0693,0.0631,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Taysha Gene Therapies, Inc.",TSHA,877619106,4004756,5566611,0.0616,1.601,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Regulus Therapeutics Inc.,RGLS,75915K309,2694044,4714577,0.0522,4.0711,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"IGM Biosciences, Inc.",IGMS,449585108,4095257,4709546,0.0521,6.6957,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Intellia Therapeutics, Inc.",NTLA,45826J105,644116,4579665,0.0507,0.6223,2025-03-31,2025-05-15,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
Baker Bros. Advisors LP,0001263508,"Celldex Therapeutics, Inc.",CLDX,15117B202,247644,4494739,0.0497,0.3731,2025-03-31,2025-05-15,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
Baker Bros. Advisors LP,0001263508,"Sionna Therapeutics, Inc.",SION,829401108,400000,4184000,0.0463,1.504,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,BioNTech SE,BNTX,09075V102,45031,4100523,0.0454,0.0187,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"TScan Therapeutics, Inc.",TCRX,89854M101,2784792,3843013,0.0425,2.1475,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Disc Medicine, Inc.",IRON,254604101,77050,3824762,0.0423,0.2312,2025-03-31,2025-05-15,BLANK CHECKS
Baker Bros. Advisors LP,0001263508,"Vir Biotechnology, Inc.",VIR,92764N102,542539,3515653,0.0389,0.3947,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Sana Biotechnology, Inc.",SANA,799566104,2030949,3411994,0.0378,0.8549,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Sagimet Biosciences Inc.,SGMT,786700104,952996,3106767,0.0344,2.96,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Relay Therapeutics, Inc.",RLAY,75943R102,1160117,3039507,0.0336,0.6855,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Wave Life Sciences Ltd.,WVE,Y95308105,344063,2780029,0.0308,0.2117,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Fate Therapeutics, Inc.",FATE,31189P102,3258402,2574463,0.0285,2.8662,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Skye Bioscience, Inc.",SKYE,83086J200,1450638,2306514,0.0255,3.6584,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Protara Therapeutics, Inc.",TARA,74365U107,536832,2286904,0.0253,1.3187,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Enliven Therapeutics, Inc.",ELVN,29337E102,114833,2259913,0.025,0.2303,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Contineum Therapeutics, Inc.",CTNM,21217B100,312500,2181250,0.0241,1.208,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Prime Medicine, Inc.",PRME,74168J101,1028466,2046647,0.0226,0.7858,2025-03-31,2025-05-15,
Baker Bros. Advisors LP,0001263508,"Tectonic Therapeutic, Inc.",TECX,878972108,100000,1771000,0.0196,0.5828,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"vTv Therapeutics, Inc.",VTVT,918385204,97314,1685478,0.0187,1.4783,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Compass Therapeutics, Inc.",CMPX,20454B104,547498,1040246,0.0115,0.3979,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Neumora Therapeutics, Inc.",NMRA,640979100,1034600,1034600,0.0114,0.6408,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,HOOKIPA Pharma Inc.,HOOK,43906K209,812814,877839,0.0097,6.4824,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Generation Bio Co.,GBIO,37148K100,1944945,787703,0.0087,2.9028,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Aligos Therapeutics, Inc.",ALGS,01626L204,83055,685204,0.0076,0.9878,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Leap Therapeutics, Inc.",LPTX,52187K200,404744,123487,0.0014,0.9807,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Century Therapeutics, Inc.",IPSC,15673T100,241684,115042,0.0013,0.281,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"Tyra Biosciences, Inc.",TYRA,90240B106,10607,98645,0.0011,0.0179,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Acrivon Therapeutics, Inc.",ACRV,004890109,22809,46302,0.0005,0.0596,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Surrozen, Inc.",SRZNW,86889P117,833333,25000,0.0003,28.4123,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Foghorn Therapeutics Inc.,FHTX,344174107,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Krystal Biotech, Inc.",KRYS,501147102,0,0,0.0,0.0,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,Arcturus Therapeutics Holdings Inc.,ARCT,03969T109,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Mersana Therapeutics, Inc.",MRSN,59045L106,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,Opthea Limited,OPT,68386J208,0,0,0.0,0.0,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Baker Bros. Advisors LP,0001263508,"PMV Pharmaceuticals, Inc.",PMVP,69353Y103,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"PTC Therapeutics, Inc.",PTCT,69366J200,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"Ionis Pharmaceuticals, Inc.",,462222AF7,0,0,0.0,0.0,2025-03-31,2025-05-15,
Baker Bros. Advisors LP,0001263508,"Mirum Pharmaceuticals, Inc.",MIRM,604749101,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
